index,id,country,genus,species,lat,lon,date,upper,lower
1511,StW_435,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1512,StW_44,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1513,StW_441_StW_465,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1514,StW_442,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1515,StW_445,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1516,StW_446,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1517,StW_447,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1518,StW_448,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1519,StW_449,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1520,StW_45,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1521,StW_450,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1522,StW_451,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1523,StW_46,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1524,StW_464,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1525,StW_467,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1526,StW_47,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1527,StW_470,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1528,StW_471_472,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1529,StW_473,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1530,StW_475,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1531,StW_476,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1532,StW_477,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1533,StW_478,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1534,StW_479,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1535,StW_48,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1536,StW_480,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1537,StW_483,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1538,StW_484,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1539,StW_485,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1540,StW_486,south_africa,australopithecus,africanus,-26.016,27.734,2.18,2.39,1.97
1541,StW_487,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1542,StW_488,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1543,StW_49,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1544,StW_490,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1545,StW_491,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1546,StW_496,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1547,StW_497,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1548,StW_498,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1549,StW_499,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1550,StW_5,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1551,StW_50,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1552,StW_501,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1553,StW_502,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1554,StW_503,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1555,StW_504,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1556,StW_505,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1557,StW_507,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1558,StW_508,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1559,StW_509,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1560,StW_51,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1561,StW_510,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1562,StW_511,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1563,StW_512,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1564,StW_513,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1565,StW_514,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1566,StW_515,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1567,StW_516,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1568,StW_517,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1569,StW_52,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1570,StW_520,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1571,StW_521,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1572,StW_522,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1573,StW_523,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1574,StW_524,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1575,StW_525,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1576,StW_526,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1577,StW_527,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1578,StW_528,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1579,StW_529,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1580,StW_53,south_africa,australopithecus,africanus,-26.016,27.734,2.3,2.6,2.0
1581,StW_530,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1582,StW_533,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1583,StW_536,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1584,StW_537,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1585,StW_54,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1586,StW_546,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1587,StW_55,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1588,StW_552,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1589,StW_553,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1590,StW_554,south_africa,indet,indet,-26.016,27.734,2.34,2.61,2.07
1591,StW_555,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1592,StW_556,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1593,StW_558,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1594,StW_559,south_africa,homo,indet,-26.016,27.734,2.18,2.39,1.97
1595,StW_56,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1596,StW_560,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1597,StW_562,south_africa,australopithecus,indet,-26.016,27.734,2.34,2.61,2.07
1598,StW_563,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1599,StW_565,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1600,StW_566,south_africa,australopithecus,africanus,-26.016,27.734,2.18,2.39,1.97
1601,StW_567,south_africa,homo,indet,-26.016,27.734,2.18,2.39,1.97
1602,StW_568,south_africa,australopithecus,africanus,-26.016,27.734,2.18,2.39,1.97
1603,StW_569,south_africa,australopithecus,africanus,-26.016,27.734,2.18,2.39,1.97
1604,StW_570,south_africa,australopithecus,africanus,-26.016,27.734,2.34,2.61,2.07
1605,StW_571,south_africa,homo,indet,-26.016,27.734,2.3,2.6,2.0
1606,StW_572,south_africa,australopithecus,africanus,-26.016,27.734,2.18,2.39,1.97
